bit,center_sample,reference,received,power_1200,power_2200,soft_value,confidence,timing_correction,decision_ratio
0,36839.976989,1,1,7.005674935e-6,5.283518987e-4,0.90951795,0.90951795,0.000000,3.57364962
1,37311.307215,0,0,4.039881477e-4,2.227912022e-5,-0.96960538,0.96960538,-8.609402,3.57364962
2,37791.232494,1,1,1.145714131e-4,7.714885412e-4,0.30658167,0.30658167,0.000000,3.57364962
3,38271.157773,0,0,3.556327618e-4,6.099346271e-5,-0.90841137,0.90841137,0.000000,3.57364962
4,38751.083052,1,1,2.467606109e-4,1.221145074e-3,0.16134673,0.16134673,0.000000,3.57364962
5,39231.008331,0,0,3.819690402e-4,5.248288462e-5,-0.92595041,0.92595041,0.000000,3.57364962
6,39710.933611,1,1,1.975679243e-4,1.451455964e-3,0.34550142,0.34550142,0.000000,3.57364962
7,40190.858890,0,0,5.198777601e-4,8.537037230e-5,-0.91213566,0.91213566,0.000000,3.57364962
8,40670.784169,1,1,2.853964365e-4,1.362541698e-3,0.13490482,0.13490482,0.000000,3.63919816
9,41150.709448,0,0,4.380615082e-4,1.259457380e-4,-0.85842086,0.85842086,0.000000,3.77392419
10,41630.634728,1,1,2.358376641e-4,1.451478752e-3,0.22257486,0.22257486,0.000000,3.91363788
11,42110.560007,0,0,4.365150798e-4,1.956505152e-4,-0.80109312,0.80109312,0.000000,4.05852389
12,42590.485286,1,1,1.946243094e-4,1.835642786e-3,0.38290028,0.38290028,0.000000,4.20877369
13,43070.410565,0,0,4.587766086e-4,1.393916298e-4,-0.86983459,0.86983459,0.000000,4.36458587
14,43550.192853,1,1,1.217085624e-4,2.361992837e-3,0.62176551,0.62176551,-0.142754,4.52616633
15,44039.901091,0,0,6.747256373e-4,1.629209127e-4,-0.90214666,0.90214666,9.767156,4.69372863
16,44519.858452,1,1,2.874931575e-4,2.086101999e-3,0.19702653,0.19702653,0.000000,4.86749422
17,44999.815812,0,0,6.281268368e-4,1.527667413e-4,-0.90806483,0.90806483,0.000000,5.04769275
18,45479.773173,1,1,1.877591397e-4,2.287256347e-3,0.39889364,0.39889364,0.000000,5.23456238
19,45959.730533,0,0,5.664995991e-4,2.212453839e-4,-0.86576559,0.86576559,0.000000,5.42835007
20,46439.687894,1,1,1.845682969e-4,3.145668404e-3,0.50342810,0.50342810,0.000000,5.62931194
21,46919.645254,0,0,6.715740907e-4,2.135058111e-4,-0.89670647,0.89670647,0.000000,5.83771357
22,47401.918874,1,1,7.856434480e-5,4.052615300e-3,0.78993330,0.78993330,2.312405,6.05383040
23,47881.883943,0,0,5.923678808e-4,2.528330059e-4,-0.87268234,0.87268234,0.000000,6.27794805
24,48361.849011,1,1,2.798582223e-4,3.577340793e-3,0.32697730,0.32697730,0.000000,6.48318568
25,48841.814080,0,0,5.947048775e-4,1.473613474e-4,-0.92833262,0.92833262,0.000000,6.66718457
26,49321.779148,1,1,2.354389665e-4,4.042768200e-3,0.42928918,0.42928918,0.000000,6.85640552
27,49801.744217,0,0,5.334199580e-4,2.206042278e-4,-0.88919223,0.88919223,0.000000,7.05099674
28,50279.585645,1,1,7.909025642e-5,4.807163565e-3,0.78683186,0.78683186,-2.120107,7.25111063
29,50767.509767,0,0,6.601903276e-4,1.001251357e-4,-0.96013413,0.96013413,7.952865,7.45690395
30,51244.253990,1,1,1.250027744e-4,6.184864451e-3,0.73161760,0.73161760,-3.234897,7.66853788
31,51724.227718,0,0,6.609734371e-4,2.523620298e-4,-0.90764286,0.90764286,0.000000,7.88617817
32,52204.201446,1,1,2.406777361e-4,5.381826323e-3,0.46769310,0.46769310,0.000000,8.10999530
33,52684.175174,0,0,5.690032610e-4,9.248977565e-5,-0.96176584,0.96176584,0.000000,8.34016457
34,53164.148902,1,1,1.939506321e-4,5.828083310e-3,0.55590398,0.55590398,0.000000,8.57686626
35,53644.122630,0,0,7.419422854e-4,1.922337139e-4,-0.94292667,0.94292667,0.000000,8.82028576
36,54121.324205,1,1,1.611958365e-4,6.818347886e-3,0.64684587,0.64684587,-2.767540,9.07061374
37,54601.288708,0,0,6.300713834e-4,9.003374264e-5,-0.96982464,0.96982464,0.000000,9.32804626
38,55080.000568,1,1,8.692336075e-5,8.448322175e-3,0.82033553,0.82033553,-1.250559,9.59278496
39,55559.960902,0,0,6.057077979e-4,2.616207067e-4,-0.91610621,0.91610621,0.000000,9.86503719
40,56036.140342,1,1,1.280953471e-4,7.350476766e-3,0.70241346,0.70241346,-3.774604,10.03068034
41,56516.088095,0,0,7.437406966e-4,1.907687849e-4,-0.95039019,0.95039019,0.000000,10.08415935
42,56994.982909,1,1,1.041680998e-4,6.919767856e-3,0.73518742,0.73518742,-1.051186,10.13792348
43,57474.927157,0,0,7.543799635e-4,3.154846599e-4,-0.92116929,0.92116929,0.000000,10.19197426
44,57953.945356,1,1,9.876590252e-5,8.472072982e-3,0.78659215,0.78659215,-0.924509,10.24631322
45,58433.886523,0,0,6.584531763e-4,3.075988667e-4,-0.91323373,0.91323373,0.000000,10.30094188
46,58912.028116,1,1,1.123934782e-4,9.943294854e-3,0.79041908,0.79041908,-1.796579,10.35586180
47,59391.963295,0,0,8.202685013e-4,4.758907766e-4,-0.89443144,0.89443144,0.000000,10.41107453
48,59871.984457,1,1,8.444947433e-5,8.764072250e-3,0.81677029,0.81677029,0.085841,10.46658163
49,60351.919921,0,0,8.013370441e-4,5.149500825e-4,-0.88488783,0.88488783,0.000000,10.52238466
50,60831.493001,1,1,1.212972174e-4,8.507384440e-3,0.73788111,0.73788111,-0.361782,10.57848521
51,61311.427259,0,0,1.083513663e-3,5.337470470e-4,-0.91146117,0.91146117,0.000000,10.63488487
52,61792.163868,1,1,1.043370061e-4,9.078051057e-3,0.78113124,0.78113124,0.801015,10.69158522
53,62272.100796,0,0,8.264180111e-4,4.602252089e-4,-0.90148289,0.90148289,0.000000,10.74858787
54,62752.927355,1,1,4.474289889e-5,1.062759325e-2,0.91297209,0.91297209,0.888150,10.80589443
55,63232.867244,0,0,8.910536581e-4,5.108536416e-4,-0.89974240,0.89974240,0.000000,10.86350653
56,63712.184427,1,1,5.246343043e-5,9.643967266e-3,0.88811932,0.88811932,-0.621670,10.89242766
57,64192.122244,0,0,1.023701992e-3,6.862119120e-4,-0.88405460,0.88405460,0.000000,10.89242766
58,64673.551250,1,1,1.012829040e-4,9.240984178e-3,0.78669851,0.78669851,1.488708,10.89242766
59,65153.494030,0,0,8.978739501e-4,6.834134777e-4,-0.86937117,0.86937117,0.000000,10.89242766
60,65632.118717,1,1,8.903257724e-5,1.085596924e-2,0.83598826,0.83598826,-1.315898,10.89242766
61,66112.057110,0,0,8.819754592e-4,5.137131007e-4,-0.89848136,0.89848136,0.000000,10.89242766
62,66591.522666,1,1,8.519991314e-5,1.152350174e-2,0.85093664,0.85093664,-0.472050,10.89242766
63,67071.459485,0,0,1.147254772e-3,5.602358217e-4,-0.91418367,0.91418367,0.000000,10.89242766
64,67551.900390,1,1,6.970411915e-5,1.127972922e-2,0.87386850,0.87386850,0.503247,10.89242766
65,68031.838887,1,1,3.876495100e-5,1.244383444e-2,0.93436315,0.93436315,0.000000,10.89242766
66,68516.545284,0,0,1.825635423e-3,1.963949731e-3,-0.82022974,0.82022974,4.759967,10.89242766
67,68986.883178,1,1,1.901049996e-4,8.674119443e-3,0.61456700,0.61456700,-9.600468,10.89242766
68,69477.799993,0,0,1.559900449e-3,1.211975825e-3,-0.86683837,0.86683837,10.976159,10.89242766
69,69957.758942,0,0,1.041961831e-3,4.975405970e-4,-0.91600588,0.91600588,0.000000,10.89242766
