strategy,file_bytes,window,data_loss,feedback_loss,retry_limit,first_seed,trials,successful,failed,completion_rate,receiver_committed,sender_confirmed,data_frames,metadata_frames,control_frames,complete_frames,retransmitted_data,timeouts,retries,retry_exhausted,delivered_frames,unique_data_packets,dropped_frames,crc_rejects,half_duplex_rejects,useful_bytes,on_air_bits,modulation_seconds,guard_seconds,elapsed_seconds,mean_seconds,mean_retransmissions,mean_control_frames,goodput_bytes_per_second,attempted_throughput_bits_per_second,overhead_fraction,timeout_ms,turnaround_ms,delay_ms,jitter_ms,corruption,duplication
one_way,1024,0,0.000000,0.000000,8,1,1000,1000,0,1.000000,1000,0,4000,1000,0,0,0,0,0,0,5000,4000,0,0,0,1024000,9632000,96320.000,1200.000,97520.000,97.520000,0.000000,0.000000,10.500410,98.769483,0.149502,40000,300,10,0,0.000000,0.000000
stop_and_wait,1024,1,0.000000,0.000000,8,1,1000,1000,0,1.000000,1000,1000,4000,1000,11000,1000,0,0,0,0,15000,4000,0,0,0,1024000,13304000,133040.000,11400.000,142540.000,142.540000,0.000000,11.000000,7.183948,93.335204,0.384245,40000,300,10,0,0.000000,0.000000
selective_repeat,1024,4,0.000000,0.000000,8,1,1000,1000,0,1.000000,1000,1000,4000,1000,5000,1000,0,0,0,0,9000,4000,0,0,0,1024000,11432000,114320.000,5400.000,118960.000,118.960000,0.000000,5.000000,8.607935,96.099529,0.283415,40000,300,10,0,0.000000,0.000000
selective_repeat,1024,8,0.000000,0.000000,8,1,1000,1000,0,1.000000,1000,1000,4000,1000,5000,1000,0,0,0,0,9000,4000,0,0,0,1024000,11432000,114320.000,5400.000,118960.000,118.960000,0.000000,5.000000,8.607935,96.099529,0.283415,40000,300,10,0,0.000000,0.000000
selective_repeat,1024,16,0.000000,0.000000,8,1,1000,1000,0,1.000000,1000,1000,4000,1000,5000,1000,0,0,0,0,9000,4000,0,0,0,1024000,11432000,114320.000,5400.000,118960.000,118.960000,0.000000,5.000000,8.607935,96.099529,0.283415,40000,300,10,0,0.000000,0.000000
stop_and_wait,1024,1,0.000000,0.010000,8,1,1000,1000,0,1.000000,1000,1000,4000,1000,11138,1011,0,96,96,0,15042,4000,108,0,0,1024000,13349008,133490.080,11538.000,146788.960,146.788960,0.000000,11.138000,6.976001,90.940136,0.386321,40000,300,10,0,0.000000,0.000000
selective_repeat,1024,4,0.000000,0.010000,8,1,1000,1000,0,1.000000,1000,1000,4000,1000,5036,1004,0,25,25,0,9011,4000,41,0,0,1024000,11444032,114440.320,5436.000,120066.500,120.066500,0.000000,5.036000,8.528607,95.314113,0.284168,40000,300,10,0,0.000000,0.000000
selective_repeat,1024,8,0.000000,0.010000,8,1,1000,1000,0,1.000000,1000,1000,4000,1000,5036,1004,0,25,25,0,9011,4000,41,0,0,1024000,11444032,114440.320,5436.000,120066.500,120.066500,0.000000,5.036000,8.528607,95.314113,0.284168,40000,300,10,0,0.000000,0.000000
selective_repeat,1024,16,0.000000,0.010000,8,1,1000,1000,0,1.000000,1000,1000,4000,1000,5036,1004,0,25,25,0,9011,4000,41,0,0,1024000,11444032,114440.320,5436.000,120066.500,120.066500,0.000000,5.036000,8.528607,95.314113,0.284168,40000,300,10,0,0.000000,0.000000
stop_and_wait,1024,1,0.000000,0.020000,8,1,1000,1000,0,1.000000,1000,1000,4000,1000,11272,1022,0,189,189,0,15083,4000,212,0,0,1024000,13392800,133928.000,11672.000,150905.140,150.905140,0.000000,11.272000,6.785720,88.749793,0.388328,40000,300,10,0,0.000000,0.000000
selective_repeat,1024,4,0.000000,0.020000,8,1,1000,1000,0,1.000000,1000,1000,4000,1000,5086,1009,0,62,62,0,9024,4000,95,0,0,1024000,11460528,114605.280,5486.000,121704.120,121.704120,0.000000,5.086000,8.413848,94.167133,0.285199,40000,300,10,0,0.000000,0.000000
