candidate,reference_frame,bit,center_sample,reference,received,power_1200,power_2200,soft_value,confidence,timing_correction,decision_ratio
1,1,0,408240.007998,1,1,7.344541844e-6,7.328609889e-3,0.98924114,0.98924114,0.000000,5.39679131
1,1,1,408719.634333,0,0,7.818294027e-4,4.947829743e-4,-0.79008617,0.79008617,-0.389013,5.39679131
1,1,2,409199.649032,1,1,5.603988714e-4,8.628267636e-3,0.48091418,0.48091418,0.000000,5.39679131
1,1,3,409679.663732,0,0,1.491628740e-3,9.216117517e-4,-0.79454955,0.79454955,0.000000,5.39679131
1,1,4,410159.678431,1,1,4.799543607e-4,8.170464665e-3,0.51857802,0.51857802,0.000000,5.39679131
1,1,5,410639.693131,0,0,1.862721602e-3,6.828088397e-4,-0.87279456,0.87279456,0.000000,5.39679131
1,1,6,411125.003901,1,1,2.574310520e-4,1.002846408e-2,0.75664211,0.75664211,5.287259,5.39679131
1,1,7,411593.338244,0,0,1.833980070e-3,1.217567384e-3,-0.78091800,0.78091800,-11.678516,5.39679131
1,1,8,412075.225192,1,1,1.614012640e-5,1.071653761e-2,0.98387490,0.98387490,1.890402,5.39679131
1,1,9,412551.987889,0,0,1.368344630e-3,1.417274974e-3,-0.67796324,0.67796324,-3.231614,5.39679131
1,1,10,413034.284581,1,1,4.142679144e-5,9.505586280e-3,0.95404088,0.95404088,2.303928,5.39679131
1,1,11,413511.106409,0,0,1.387974296e-3,1.323584546e-3,-0.69966969,0.69966969,-3.169494,5.39679131
1,1,12,413994.404863,1,1,1.449387844e-4,1.017775350e-2,0.85726143,0.85726143,3.306903,5.39679131
1,1,13,414466.954984,0,0,1.437932672e-3,1.561405445e-3,-0.66499297,0.66499297,-7.434551,5.39679131
1,1,14,414952.899054,1,1,1.562806854e-4,9.070778325e-3,0.82985720,0.82985720,5.961854,5.39679131
1,1,15,415425.279507,0,0,1.554619362e-3,1.014308075e-3,-0.78428763,0.78428763,-7.599036,5.39679131
1,1,16,415909.346399,1,1,1.493234460e-4,9.272729663e-3,0.84008340,0.84008340,4.093247,5.39679131
1,1,17,416382.052523,0,0,1.483353668e-3,1.091466127e-3,-0.76003338,0.76003338,-7.262240,5.39679131
1,1,18,416864.733425,1,1,7.475123576e-5,8.049777636e-3,0.90455281,0.90455281,2.720108,5.39679131
1,1,19,417337.816175,0,0,1.692744714e-3,1.367268484e-3,-0.73963383,0.73963383,-6.871125,5.39679131
1,1,20,417822.666357,1,1,1.105688116e-4,8.532115111e-3,0.86926765,0.86926765,4.899593,5.39679131
1,1,21,418298.781018,0,0,1.351269476e-3,1.604338378e-3,-0.63934719,0.63934719,-3.837698,5.39679131
1,1,22,418785.560782,1,1,1.326249523e-4,7.468488082e-3,0.82509080,0.82509080,6.822430,5.39679131
