candidate,reference_frame,bit,center_sample,reference,received,power_1200,power_2200,soft_value,confidence,timing_correction,decision_ratio
0,,0,79919.994067,,1,4.331290121e-6,5.198448091e-3,0.99477459,0.99477459,0.000000,3.14400059
0,,1,80399.982202,,0,1.250824183e-3,1.039172584e-3,-0.58197031,0.58197031,0.000000,3.14400059
0,,2,80879.970336,,1,6.014288972e-4,5.209894515e-3,0.46741320,0.46741320,0.000000,3.14400059
0,,3,81359.958471,,0,1.823833726e-3,1.534660179e-3,-0.57774011,0.57774011,0.000000,3.14400059
0,,4,81839.946605,,1,6.453756973e-4,5.341205425e-3,0.44939266,0.44939266,0.000000,3.14400059
0,,5,82319.934740,,0,3.262992120e-3,1.119125503e-3,-0.80328212,0.80328212,0.000000,3.14400059
0,,6,82803.504384,,1,2.700481030e-4,6.729466204e-3,0.77593675,0.77593675,3.575551,3.14400059
0,,7,83283.504437,,0,3.101207811e-3,1.914514168e-3,-0.67174261,0.67174261,0.000000,3.14400059
0,,8,83764.093411,,1,1.854606765e-4,6.667302565e-3,0.83915668,0.83915668,0.587941,3.14400059
0,,9,84244.095424,,0,3.703238105e-3,2.389944586e-3,-0.65938047,0.65938047,0.000000,3.14400059
0,,10,84725.709763,,1,9.452434470e-5,5.929243892e-3,0.90454091,0.90454091,1.609644,3.14400059
0,,11,85205.717141,,0,3.240367417e-3,2.300306586e-3,-0.63159798,0.63159798,0.000000,3.14400059
0,,12,85688.547872,,1,1.939938325e-4,6.116393866e-3,0.81864747,0.81864747,2.818654,3.14400059
0,,13,86168.564645,,0,3.551699032e-3,2.453476516e-3,-0.63972499,0.63972499,0.000000,3.14400059
0,,14,86653.696433,,1,1.111487271e-4,5.893948711e-3,0.88805726,0.88805726,5.106503,3.14400059
0,,15,87133.730228,,0,2.842235851e-3,2.404636061e-3,-0.57592539,0.57592539,0.000000,3.14400059
0,,16,87613.764024,,1,1.283633161e-4,5.874308332e-3,0.87142979,0.87142979,0.000000,3.14400059
0,,17,88093.797819,,0,2.093764661e-3,2.031193820e-3,-0.52839658,0.52839658,0.000000,3.14400059
0,,18,88573.831615,,1,7.652431982e-5,5.472276439e-3,0.91577174,0.91577174,0.000000,3.14400059
0,,19,89053.865410,,0,2.302574836e-3,2.088116823e-3,-0.55226241,0.55226241,0.000000,3.14400059
0,,20,89533.899206,,1,1.128365113e-4,6.448011646e-3,0.89570188,0.89570188,0.000000,3.14400059
0,,21,90013.933001,,0,2.631310176e-3,2.790923505e-3,-0.49548392,0.49548392,0.000000,3.14400059
0,,22,90493.966797,,1,1.116757475e-4,5.690031005e-3,0.88376080,0.88376080,0.000000,3.14400059
0,,23,90974.000592,,0,2.859182973e-3,1.621244947e-3,-0.69440795,0.69440795,0.000000,3.14400059
0,,24,91454.512712,,1,8.289525603e-5,6.825643479e-3,0.92644286,0.92644286,0.477529,3.14400059
0,,25,91934.548100,,0,2.416648478e-3,2.127955834e-3,-0.56241462,0.56241462,0.000000,3.14400059
0,,26,92414.583487,,1,1.535051563e-5,6.303945010e-3,0.98480464,0.98480464,0.000000,3.14400059
0,,27,92894.618874,,0,2.734555859e-3,2.306968384e-3,-0.57687438,0.57687438,0.000000,3.14400059
0,,28,93374.654261,,1,2.090497703e-5,6.713783995e-3,0.98061061,0.98061061,0.000000,3.14400059
0,,29,93854.689649,,0,1.928807556e-3,2.427102907e-3,-0.42833016,0.42833016,0.000000,3.14400059
0,,30,94334.725036,,1,9.222744737e-5,6.424781529e-3,0.91363390,0.91363390,0.000000,3.14400059
0,,31,94814.760423,,0,2.213906610e-3,1.923970690e-3,-0.56689247,0.56689247,0.000000,3.14400059
0,,32,95294.795810,,1,6.052223072e-5,6.497358625e-3,0.94309445,0.94309445,0.000000,3.14400059
0,,33,95774.831198,,0,2.593841798e-3,2.147599997e-3,-0.58309715,0.58309715,0.000000,3.14400059
0,,34,96254.866585,,1,1.140212988e-4,6.984437951e-3,0.90235956,0.90235956,0.000000,3.14400059
0,,35,96734.901972,,0,1.958872711e-3,2.040472771e-3,-0.50227332,0.50227332,0.000000,3.14400059
0,,36,97214.937359,,1,1.048425278e-4,6.436210186e-3,0.90256193,0.90256193,0.000000,3.14400059
0,,37,97682.444308,,0,2.130772855e-3,1.757155364e-3,-0.58441540,0.58441540,-12.507592,3.14400059
0,,38,98162.438004,,1,1.300605509e-4,7.098318136e-3,0.89106221,0.89106221,0.000000,3.14400059
0,,39,98642.431699,,0,1.669781776e-3,2.256844116e-3,-0.39870717,0.39870717,0.000000,3.14400059
0,,40,99122.425394,,1,1.582027806e-4,7.146605921e-3,0.86986135,0.86986135,0.000000,3.14400059
0,,41,99592.105058,,0,2.494320285e-3,1.839662016e-3,-0.61997546,0.61997546,-10.296870,3.14400059
0,,42,100077.719431,,1,1.065308260e-4,7.462789430e-3,0.91409466,0.91409466,5.645591,3.14400059
