candidate,reference_frame,bit,center_sample,reference,received,power_1200,power_2200,soft_value,confidence,timing_correction,decision_ratio
0,,0,72528.000000,,1,7.952404603e-5,7.373894783e-3,0.98336032,0.98336032,0.000000,0.77793237
0,,1,73017.606078,,0,3.619504105e-3,1.291905573e-4,-0.91226209,0.91226209,9.590094,0.77793237
0,,2,73492.399333,,1,2.376395240e-4,3.439897097e-3,0.89799753,0.89799753,-5.229995,0.77793237
0,,3,73972.413866,,0,4.058641644e-3,8.261236152e-4,-0.58522437,0.58522437,0.000000,0.77793237
0,,4,74452.428400,,1,2.062616841e-4,3.471299341e-3,0.91163636,0.91163636,0.000000,0.77793237
0,,5,74932.442934,,0,4.377583296e-3,9.769342857e-4,-0.55415538,0.55415538,0.000000,0.77793237
0,,6,75412.457467,,1,4.383313333e-4,3.505236600e-3,0.82268754,0.82268754,0.000000,0.77793237
0,,7,75893.094839,,0,5.479772289e-3,7.568557325e-4,-0.69844871,0.69844871,0.621802,0.77793237
0,,8,76362.866635,,1,7.168747101e-4,3.216630568e-3,0.70448641,0.70448641,-10.227764,0.77793237
0,,9,76846.923252,,0,4.912608336e-3,7.965473392e-4,-0.65504173,0.65504173,4.067325,0.77793237
0,,10,77319.572712,,1,5.331849866e-4,3.261456345e-3,0.77434441,0.77434441,-7.334388,0.77793237
0,,11,77799.544335,,0,4.496153614e-3,1.132145134e-3,-0.51093643,0.51093643,0.000000,0.77793237
0,,12,78279.515959,,1,3.394155089e-4,2.521467331e-3,0.81041723,0.81041723,0.000000,0.77793237
0,,13,78759.487582,,0,4.400061973e-3,8.990702413e-4,-0.58395840,0.58395840,0.000000,0.77793237
0,,14,79239.459206,,1,3.087550817e-4,3.073304853e-3,0.85502284,0.85502284,0.000000,0.77793237
0,,15,79723.531115,,0,4.361629892e-3,8.675945322e-4,-0.59274053,0.59274053,4.093463,0.77793237
0,,16,80203.516383,,1,5.420216797e-4,3.445516840e-3,0.78193052,0.78193052,0.000000,0.77793237
0,,17,80683.501652,,0,4.595685703e-3,1.084339305e-3,-0.53456558,0.53456558,0.000000,0.77793237
0,,18,81163.486920,,1,5.770313054e-4,2.866267738e-3,0.72918866,0.72918866,0.000000,0.77793237
0,,19,81643.472189,,0,4.975941428e-3,1.211058233e-3,-0.52339345,0.52339345,0.000000,0.77793237
0,,20,82123.457457,,1,5.769201045e-4,2.308658233e-3,0.67447990,0.67447990,0.000000,0.77793237
0,,21,82609.508505,,0,4.683738744e-3,9.135964793e-4,-0.59905610,0.59905610,6.055686,0.77793237
0,,22,83089.513959,,1,4.628883142e-4,3.373513224e-3,0.80710578,0.80710578,0.000000,0.77793237
0,,23,83569.519413,,0,3.761390720e-3,9.757538261e-4,-0.49985214,0.49985214,0.000000,0.77793237
0,,24,84049.524867,,1,5.392728060e-4,2.712111925e-3,0.73207703,0.73207703,0.000000,0.77793237
0,,25,84529.530321,,0,5.024539981e-3,1.071814777e-3,-0.56960131,0.56960131,0.000000,0.77793237
0,,26,85009.535775,,1,4.179767144e-5,3.429109796e-3,0.98121359,0.98121359,0.000000,0.77793237
0,,27,85489.998237,,0,6.170413854e-3,5.342800103e-4,-0.79968674,0.79968674,0.456248,0.77793237
0,,28,85970.005212,,1,7.929648944e-4,1.651770326e-3,0.45617450,0.45617450,0.000000,0.77793237
0,,29,86450.012187,,0,2.779288491e-3,1.967806213e-3,-0.04704522,0.04704522,0.000000,0.77793237
0,,30,86930.019162,,1,8.015871521e-4,2.670484056e-3,0.62139141,0.62139141,0.000000,0.77793237
0,,31,87408.481808,,0,6.180515156e-3,8.340305806e-4,-0.70435211,0.70435211,-1.541759,0.77793237
0,,32,87888.483644,,1,4.423377144e-4,1.334441420e-3,0.58999282,0.58999282,0.000000,0.77793237
0,,33,88368.485479,,0,4.190599719e-3,1.740031666e-3,-0.30399218,0.30399218,0.000000,0.77793237
0,,34,88848.487315,,1,6.240601611e-4,1.852745298e-3,0.58474720,0.58474720,0.000000,0.77793237
0,,35,89328.489151,,0,5.469519221e-3,9.040974013e-4,-0.64950764,0.64950764,0.000000,0.77793237
0,,36,89808.490986,,1,2.767096583e-4,6.407772955e-4,0.49707554,0.49707554,0.000000,0.77793237
0,,37,90288.492822,,0,3.766495920e-3,8.194551851e-4,-0.56290295,0.56290295,0.000000,0.77793237
0,,38,90768.494658,,1,3.067936298e-4,3.029549295e-4,0.11869997,0.11869997,0.000000,0.77793237
0,,39,91248.496493,,0,3.744671106e-3,1.097992168e-3,-0.45252221,0.45252221,0.000000,0.77793237
0,,40,91728.498329,,0,2.181859023e-4,1.404153977e-5,-0.84718805,0.84718805,0.000000,0.77793237
0,,41,92208.500165,,0,3.139764973e-3,6.958095029e-4,-0.55657401,0.55657401,0.000000,0.77793237
0,,42,92688.502001,,1,1.277445140e-4,4.135880286e-4,0.61254017,0.61254017,0.000000,0.77793237
0,,43,93168.503836,,0,4.126887240e-3,5.946818234e-4,-0.68743079,0.68743079,0.000000,0.77793237
0,,44,93642.379190,,1,1.540786740e-4,1.485583463e-3,0.85067979,0.85067979,-6.116288,0.77793237
0,,45,94122.360639,,0,3.859201155e-3,5.541215668e-4,-0.68837354,0.68837354,0.000000,0.77793237
0,,46,94593.290900,,1,9.462678420e-5,4.188302678e-3,0.96545533,0.96545533,-9.036126,0.77793237
0,,47,95073.242228,,0,3.786040091e-3,1.322472456e-3,-0.38024921,0.38024921,0.000000,0.77793237
0,,48,95553.193555,,1,2.606249260e-4,6.371742037e-3,0.93832265,0.93832265,0.000000,0.77793237
0,,49,96033.144883,,0,4.268862305e-3,1.130058527e-3,-0.49221632,0.49221632,0.000000,0.77793237
0,,50,96513.096211,,1,1.529600228e-4,7.119209626e-3,0.96712096,0.96712096,0.000000,0.77793237
0,,51,96993.047538,,0,3.657696582e-3,1.315771095e-3,-0.36760194,0.36760194,0.000000,0.77793237
0,,52,97472.998866,,1,1.328936880e-4,9.427888119e-3,0.97830671,0.97830671,0.000000,0.77793237
0,,53,97952.950194,,0,3.722866276e-3,1.311878954e-3,-0.37648593,0.37648593,0.000000,0.77793237
0,,54,98432.901521,,1,2.189537243e-4,7.976576017e-3,0.95818507,0.95818507,0.000000,0.77793237
0,,55,98912.852849,,0,3.405999820e-3,1.382657678e-3,-0.31420810,0.31420810,0.000000,0.77793237
0,,56,99392.804177,,1,1.248669983e-4,7.429977108e-3,0.97418983,0.97418983,0.000000,0.77793237
0,,57,99872.755504,,0,3.674413352e-3,1.074928330e-3,-0.45343184,0.45343184,0.000000,0.77793237
0,,58,100352.706832,,1,1.291783005e-4,7.720838731e-3,0.97430310,0.97430310,0.000000,0.77793237
0,,59,100832.658160,,0,4.020016212e-3,1.301544931e-3,-0.41224191,0.41224191,0.000000,0.77793237
0,,60,101312.609487,,1,2.595977111e-4,6.759159523e-3,0.94197779,0.94197779,0.000000,0.77793237
0,,61,101792.560815,,0,3.219160395e-3,1.723236198e-3,-0.18475416,0.18475416,0.000000,0.77793237
