"seed","payload_bytes","first_echo_gain","final_one_carrier_gain","old_exact_packet","new_exact_packet"
"1","17","0.35","0.6","false","true"
"1","17","0.35","1","false","true"
"1","17","0.5","0.6","false","true"
"1","17","0.5","1","false","true"
"1","59","0.35","0.6","false","true"
"1","59","0.35","1","false","true"
"1","59","0.5","0.6","false","true"
"1","59","0.5","1","false","true"
"1","128","0.35","0.6","false","true"
"1","128","0.35","1","false","true"
"1","128","0.5","0.6","false","true"
"1","128","0.5","1","false","true"
"1","256","0.35","0.6","false","true"
"1","256","0.35","1","false","true"
"1","256","0.5","0.6","false","true"
"1","256","0.5","1","false","true"
"17","17","0.35","0.6","false","true"
"17","17","0.35","1","false","true"
"17","17","0.5","0.6","false","true"
"17","17","0.5","1","false","true"
"17","59","0.35","0.6","false","true"
"17","59","0.35","1","false","true"
"17","59","0.5","0.6","false","true"
"17","59","0.5","1","false","true"
"17","128","0.35","0.6","false","true"
"17","128","0.35","1","false","true"
"17","128","0.5","0.6","false","true"
"17","128","0.5","1","false","true"
"17","256","0.35","0.6","false","true"
"17","256","0.35","1","false","true"
"17","256","0.5","0.6","false","true"
"17","256","0.5","1","false","true"
"42","17","0.35","0.6","false","true"
"42","17","0.35","1","false","true"
"42","17","0.5","0.6","false","true"
"42","17","0.5","1","false","true"
"42","59","0.35","0.6","false","true"
"42","59","0.35","1","false","true"
"42","59","0.5","0.6","false","true"
"42","59","0.5","1","false","true"
"42","128","0.35","0.6","false","true"
"42","128","0.35","1","false","true"
"42","128","0.5","0.6","false","true"
"42","128","0.5","1","false","true"
"42","256","0.35","0.6","false","true"
"42","256","0.35","1","false","true"
"42","256","0.5","0.6","false","true"
"42","256","0.5","1","false","true"
