bit,center_sample,reference,received,power_1200,power_2200,soft_value,confidence,timing_correction
0,62159.985237,1,1,3.303295211e-7,2.399131234e-3,0.99973846,0.99973846,0.000000
1,62639.955711,0,0,1.915878879e-3,8.781883016e-4,-0.34901525,0.34901525,0.000000
2,63119.926185,1,1,1.479626439e-5,1.850501995e-3,0.98492449,0.98492449,0.000000
3,63599.896659,0,0,2.003142634e-3,8.779770258e-4,-0.36852280,0.36852280,0.000000
4,64079.867133,1,1,3.356572714e-5,1.323196250e-3,0.95294271,0.95294271,0.000000
5,64559.837607,0,0,1.564130775e-3,5.065141171e-4,-0.49151296,0.49151296,0.000000
6,65039.808081,1,1,5.726130279e-5,1.243309334e-3,0.91617328,0.91617328,0.000000
7,65522.068048,0,0,1.256204512e-3,2.404886052e-4,-0.66452585,0.66452585,2.285683
8,66010.168562,1,1,6.045222408e-6,1.368251550e-3,0.99164160,0.99164160,8.108906
9,66492.854801,0,0,1.412101287e-3,2.692704190e-4,-0.66562462,0.66562462,2.676655
10,66982.602926,1,1,3.481258918e-5,1.083731611e-3,0.94078157,0.94078157,9.717884
11,67461.389187,0,0,1.945096480e-3,3.446946630e-4,-0.68553913,0.68553913,-1.258080
12,67947.978259,1,1,1.083810886e-5,1.422689180e-3,0.98563162,0.98563162,6.535935
13,68427.141284,0,0,1.646803684e-3,3.068119511e-4,-0.67204594,0.67204594,-0.899506
14,68915.157764,1,1,1.728489395e-5,1.418960677e-3,0.97712318,0.97712318,7.942211
15,69393.298923,0,0,1.932565725e-3,3.334287581e-4,-0.69256788,0.69256788,-1.943109
16,69880.963721,1,1,5.854024653e-6,1.444434678e-3,0.99233021,0.99233021,7.571150
17,70358.922294,0,0,1.681255396e-3,2.881136035e-4,-0.69432427,0.69432427,-2.144120
18,70845.613933,1,1,2.398059161e-5,1.228367438e-3,0.96358775,0.96358775,6.581551
19,71319.986134,0,0,2.041398486e-3,4.531011077e-4,-0.62117998,0.62117998,-5.739292
20,71805.230472,1,1,1.647539566e-5,1.465460300e-3,0.97886782,0.97886782,5.133855
21,72285.349512,0,0,1.863539829e-3,4.591098994e-4,-0.58810121,0.58810121,0.000000
22,72765.468552,1,1,1.605529247e-5,1.714979902e-3,0.98237172,0.98237172,0.000000
23,73242.249043,0,0,2.018358555e-3,3.431806591e-4,-0.69634940,0.69634940,-3.332993
24,73727.111438,1,1,1.145024450e-5,1.655451974e-3,0.98694581,0.98694581,4.746553
25,74205.221631,0,0,1.781764038e-3,3.277285888e-4,-0.67554492,0.67554492,-2.010207
26,74690.677062,1,1,6.245182408e-5,1.494255827e-3,0.92363261,0.92363261,5.329497
27,75166.843389,0,0,2.159986239e-3,4.182664675e-4,-0.66131989,0.66131989,-3.961885
28,75651.491126,1,1,1.771277011e-5,1.744022583e-3,0.98089001,0.98089001,4.518596
29,76126.844326,0,0,1.945125377e-3,3.959534369e-4,-0.64703362,0.64703362,-4.775513
30,76612.037029,1,1,2.198744265e-5,1.980385519e-3,0.97912798,0.97912798,5.063511
31,77089.093227,0,0,2.269056894e-3,3.605976499e-4,-0.71334660,0.71334660,-3.076306
32,77572.695897,1,1,5.912496352e-6,2.048116472e-3,0.99453081,0.99453081,3.469510
33,78048.398089,0,0,2.237749213e-3,3.067103523e-4,-0.74780100,0.74780100,-4.429368
34,78533.009641,1,1,3.343163193e-5,2.098328848e-3,0.97018352,0.97018352,4.479908
35,79009.001478,0,0,2.507776826e-3,3.828092634e-4,-0.72309152,0.72309152,-4.140373
36,79492.141037,1,1,2.459957141e-5,2.630737321e-3,0.98239219,0.98239219,3.009234
37,79971.217363,0,0,2.347897385e-3,2.906862654e-4,-0.76937817,0.76937817,-1.057252
38,80452.335504,1,1,3.230565768e-5,3.222654995e-3,0.98113553,0.98113553,0.984683
39,80930.707667,0,0,3.188305974e-3,3.004730343e-4,-0.81947931,0.81947931,-1.760002
40,81411.514997,1,1,3.324048000e-5,3.565294905e-3,0.98244349,0.98244349,0.676970
41,81890.502328,0,0,3.159055991e-3,2.149051940e-4,-0.86633619,0.86633619,-1.142254
42,82369.994930,1,1,4.375492812e-5,3.756812682e-3,0.97811609,0.97811609,-0.634022
43,82849.689448,0,0,3.079658824e-3,2.943755825e-4,-0.81713877,0.81713877,-0.430332
44,83329.604211,1,1,3.202624042e-5,3.941484246e-3,0.98468198,0.98468198,-0.209021
45,83809.286627,0,0,3.322379016e-3,3.061302036e-4,-0.82314677,0.82314677,-0.440286
46,84288.779504,1,1,5.743639092e-6,4.374918693e-3,0.99750901,0.99750901,-0.628045
47,84769.386497,0,0,2.858581763e-3,3.596538694e-4,-0.76607453,0.76607453,0.486308
48,85246.643926,1,1,7.284433329e-5,4.423549158e-3,0.96919793,0.96919793,-2.859302
49,85727.542464,0,0,3.280106443e-3,3.209974340e-4,-0.81319344,0.81319344,0.785264
50,86204.181238,1,1,2.966755744e-5,4.468062147e-3,0.98746490,0.98746490,-3.470025
51,86685.057432,0,0,3.330439356e-3,3.141427612e-4,-0.81933555,0.81933555,0.771891
52,87163.052024,1,1,5.579655724e-5,4.216635129e-3,0.97517368,0.97517368,-2.107484
53,87644.148804,0,0,3.122817745e-3,3.691770714e-4,-0.77863486,0.77863486,0.996555
54,88121.713221,1,1,1.154362018e-5,4.297610725e-3,0.99491016,0.99491016,-2.533246
55,88604.024564,0,0,3.009143575e-3,4.390849260e-4,-0.73367727,0.73367727,2.214211
56,89081.532392,1,1,2.876388353e-5,4.238626401e-3,0.98719064,0.98719064,-2.588680
57,89563.177869,0,0,2.993911448e-3,3.095332612e-4,-0.80368095,0.80368095,1.550700
58,90039.629662,1,1,1.099165174e-4,4.178701381e-3,0.95124720,0.95124720,-3.639504
59,90522.213194,0,0,2.854007668e-3,3.585635612e-4,-0.76637074,0.76637074,2.494145
60,90999.180049,1,1,7.123043581e-5,3.828256609e-3,0.96526626,0.96526626,-3.121487
61,91480.297944,0,0,2.870589623e-3,3.980342734e-4,-0.74523609,0.74523609,1.033034
62,91957.491096,1,1,2.735019002e-5,3.868684623e-3,0.98665907,0.98665907,-2.888617
63,92437.933362,0,0,2.688132571e-3,4.335354816e-4,-0.70971074,0.70971074,0.364704
64,92914.801024,1,1,7.933488735e-6,3.828013177e-3,0.99607055,0.99607055,-3.205167
65,93394.868510,1,1,7.615400487e-6,3.989786486e-3,0.99638047,0.99638047,0.000000
66,93880.548787,0,0,2.003681518e-3,2.521921508e-4,-0.76599426,0.76599426,5.603452
67,94353.546618,1,1,6.593864857e-5,4.448478997e-3,0.97223152,0.97223152,-7.076539
68,94833.609194,0,0,3.386617317e-3,8.200819117e-4,-0.59371102,0.59371102,0.000000
69,95313.671770,0,0,2.820175747e-3,1.224772250e-4,-0.91255645,0.91255645,0.000000
70,95794.244367,1,1,6.581041882e-5,1.899291854e-3,0.93627134,0.93627134,0.509173
71,96274.308641,1,1,7.344824006e-5,2.776450167e-3,0.95097596,0.95097596,0.000000
72,96754.372914,1,1,9.824191420e-5,3.801127827e-3,0.95207668,0.95207668,0.000000
73,97238.802707,0,0,2.168043251e-3,4.299649464e-4,-0.65455384,0.65455384,4.358257
74,97718.881508,0,0,2.578660641e-3,1.832039610e-4,-0.86081924,0.86081924,0.000000
75,98203.700329,1,1,1.870293484e-4,1.444219904e-3,0.78092730,0.78092730,4.732134
76,98683.794904,0,0,3.219620028e-3,8.754829234e-4,-0.55488224,0.55488224,0.000000
77,99163.889478,0,0,3.034915386e-3,3.375512144e-5,-0.97685263,0.97685263,0.000000
78,99643.984052,0,0,3.784319717e-3,5.053128841e-5,-0.97227482,0.97227482,0.000000
79,100129.833559,1,1,2.659687409e-4,1.811234303e-3,0.75518179,0.75518179,5.745356
80,100609.947284,0,0,2.293862271e-3,7.396863147e-4,-0.49311637,0.49311637,0.000000
81,101090.061010,0,0,2.498216952e-3,1.234705728e-5,-0.98964753,0.98964753,0.000000
82,101570.174735,0,0,2.944982195e-3,4.060544074e-5,-0.97138412,0.97138412,0.000000
83,102050.288461,0,0,3.352433760e-3,2.828616047e-6,-0.99822502,0.99822502,0.000000
84,102530.402186,0,0,2.850874928e-3,7.451996875e-6,-0.99451135,0.99451135,0.000000
85,103010.515912,0,0,2.929195020e-3,2.454743614e-5,-0.98250929,0.98250929,0.000000
86,103490.629637,0,0,3.118222603e-3,1.932369314e-6,-0.99869604,0.99869604,0.000000
87,103968.513651,1,1,1.900497616e-4,2.438593767e-3,0.86214959,0.86214959,-2.226001
88,104448.619957,0,0,2.551116267e-3,8.653530351e-4,-0.47372398,0.47372398,0.000000
89,104928.726262,0,0,2.155621581e-3,2.447186268e-5,-0.97637896,0.97637896,0.000000
90,105408.832568,0,0,2.930143952e-3,6.527291572e-6,-0.99532059,0.99532059,0.000000
91,105888.938873,0,0,3.174069234e-3,2.087663466e-5,-0.98624655,0.98624655,0.000000
92,106369.045179,0,0,2.914286130e-3,3.509795132e-6,-0.99746742,0.99746742,0.000000
93,106849.151484,0,0,3.198018374e-3,4.434491701e-6,-0.99708463,0.99708463,0.000000
94,107329.257790,0,0,3.251122508e-3,1.130174692e-6,-0.99926833,0.99926833,0.000000
95,107809.364095,0,0,2.911487565e-3,2.708130847e-7,-0.99980417,0.99980417,0.000000
96,108289.470401,0,0,2.950117556e-3,7.849453591e-8,-0.99994398,0.99994398,0.000000
97,108769.576707,0,0,3.022925456e-3,5.203745394e-6,-0.99638202,0.99638202,0.000000
98,109246.743333,1,1,1.688864865e-4,2.473572607e-3,0.87819199,0.87819199,-2.934787
99,109726.839856,0,0,2.721491930e-3,9.082002843e-4,-0.48002896,0.48002896,0.000000
100,110206.936379,1,1,2.009969872e-4,2.888044579e-3,0.87598327,0.87598327,0.000000
101,110687.032902,0,0,2.548405485e-3,8.820899609e-4,-0.46584549,0.46584549,0.000000
102,111167.129425,1,1,1.356141826e-4,2.212229768e-3,0.88994981,0.88994981,0.000000
103,111647.225948,1,1,3.252548862e-5,3.235904536e-3,0.98108541,0.98108541,0.000000
104,112127.322471,1,1,4.808739299e-5,3.196664590e-3,0.97182473,0.97182473,0.000000
105,112607.418994,1,1,1.583195775e-6,3.452755878e-3,0.99912929,0.99912929,0.000000
106,113089.836174,0,0,2.733921843e-3,5.408109974e-4,-0.65528081,0.65528081,2.316796
107,113569.940420,0,0,2.891548719e-3,1.110799708e-4,-0.92225876,0.92225876,0.000000
108,114057.297574,1,1,4.699911417e-5,9.265750967e-4,0.90806763,0.90806763,7.240840
109,114537.425955,0,0,3.857404283e-3,1.019074492e-3,-0.56478818,0.56478818,0.000000
110,115017.554337,1,1,2.843893681e-5,2.082898370e-3,0.97439383,0.97439383,0.000000
111,115497.682719,1,1,2.937606614e-5,3.281812899e-3,0.98313841,0.98313841,0.000000
112,115979.978574,0,0,2.375818773e-3,3.523779678e-4,-0.72988590,0.72988590,2.163867
113,116460.114169,0,0,2.292628313e-3,7.396815009e-5,-0.93429943,0.93429943,0.000000
114,116940.249763,0,0,3.355890245e-3,2.746960063e-4,-0.84132470,0.84132470,0.000000
115,117420.385358,0,0,3.774486451e-3,6.179965617e-5,-0.96611009,0.96611009,0.000000
116,117900.823309,1,1,3.744634562e-5,1.999195956e-3,0.96503844,0.96503844,0.301854
117,118380.959910,1,1,1.116967454e-4,3.616460180e-3,0.94299740,0.94299740,0.000000
118,118861.096511,1,1,1.582550504e-4,3.867642460e-3,0.92517494,0.92517494,0.000000
119,119341.233112,0,0,2.249912708e-3,5.984017459e-4,-0.56249724,0.56249724,0.000000
120,119821.369712,0,0,2.438031489e-3,1.710073440e-4,-0.86246951,0.86246951,0.000000
121,120301.506313,0,0,3.121588014e-3,1.345830658e-4,-0.91316370,0.91316370,0.000000
122,120786.509401,1,1,6.119501250e-5,1.633783785e-3,0.93128776,0.93128776,4.858390
123,121266.662196,1,1,6.562175674e-5,3.624218332e-3,0.96618392,0.96618392,0.000000
124,121746.814992,1,1,3.729458288e-5,3.835029283e-3,0.98169459,0.98169459,0.000000
125,122226.967787,1,1,1.118485875e-4,3.556039709e-3,0.94198044,0.94198044,0.000000
126,122707.120582,1,1,1.556679341e-4,2.642033719e-3,0.89399987,0.89399987,0.000000
127,123190.468499,0,0,2.661685290e-3,4.539191257e-4,-0.69557926,0.69557926,3.189805
128,123670.631927,0,0,3.336424889e-3,2.578338518e-4,-0.84952859,0.84952859,0.000000
129,124150.795356,0,0,4.487995594e-3,2.022713491e-4,-0.90940298,0.90940298,0.000000
130,124630.958784,0,0,3.901382648e-3,1.254246436e-4,-0.93452536,0.93452536,0.000000
131,125111.122212,0,0,3.721278356e-3,4.101715985e-5,-0.97705821,0.97705821,0.000000
132,125591.285640,0,0,3.337011130e-3,5.956232593e-5,-0.96311131,0.96311131,0.000000
133,126071.449068,0,0,2.774285214e-3,5.370611464e-6,-0.99593226,0.99593226,0.000000
134,126551.612496,0,0,2.587525489e-3,5.194956907e-6,-0.99578163,0.99578163,0.000000
135,127031.775924,0,0,2.642245076e-3,1.611115950e-6,-0.99871696,0.99871696,0.000000
136,127511.939352,0,0,3.022901071e-3,1.298601478e-6,-0.99909589,0.99909589,0.000000
137,127992.102780,0,0,3.355671671e-3,6.425175905e-7,-0.99959693,0.99959693,0.000000
138,128472.266208,0,0,2.615072041e-3,1.453864736e-7,-0.99988295,0.99988295,0.000000
139,128952.429636,0,0,2.830148717e-3,4.728955517e-7,-0.99964824,0.99964824,0.000000
140,129432.593064,0,0,2.782635194e-3,9.297507629e-8,-0.99992965,0.99992965,0.000000
141,129912.756492,0,0,2.698626565e-3,1.848754923e-7,-0.99985577,0.99985577,0.000000
142,130392.919920,0,0,2.824144462e-3,1.593631879e-7,-0.99988119,0.99988119,0.000000
143,130873.083349,0,0,2.946872147e-3,5.162399340e-8,-0.99996312,0.99996312,0.000000
144,131353.246777,0,0,3.110805228e-3,4.137045117e-8,-0.99997200,0.99997200,0.000000
145,131833.410205,0,0,2.851471698e-3,3.152340667e-7,-0.99976726,0.99976726,0.000000
146,132313.573633,0,0,2.537142772e-3,1.012164092e-8,-0.99999160,0.99999160,0.000000
147,132793.737061,0,0,3.020271121e-3,1.048036045e-7,-0.99992694,0.99992694,0.000000
